Wygrany,Przegrany,Trafienia Wygranego,Trafienia Przegranego,Duble,Numer Ligi,Maks punktów,Trafienia W. Znorm.,Trafienia P. Znorm,Duble Znorm.,Elo_w_after,Elo_l_after,Elo_w_before,Elo_l_before
Konik,Kumiś,5.0,2.0,2.0,1,6.0,"0,8333333333","0,3333333333","0,3333333333",1205.0,1195.0,1200.0,1200.0
Pioter,Bieda,6.0,4.0,7.0,1,6.0,1,"0,6666666667","1,166666667",1205.0,1195.0,1200.0,1200.0
Franek,Pioter,4.0,3.0,3.0,1,6.0,"0,6666666667","0,5","0,5",1205.07,1199.93,1200.0,1205.0
Kumiś,Bieda,5.0,1.0,8.0,1,6.0,"0,8333333333","0,1666666667","1,333333333",1200.0,1190.0,1195.0,1195.0
Franek,Bieda,5.0,0.0,0.0,1,6.0,"0,8333333333",0,0,1209.85,1185.22,1205.07,1190.0
Pioter,Konik,5.0,4.0,2.0,1,6.0,"0,8333333333","0,6666666667","0,3333333333",1205.0,1199.93,1199.93,1205.0
Franek,Konik,5.0,3.0,2.0,1,6.0,"0,8333333333","0,5","0,3333333333",1214.7099999999998,1195.0700000000002,1209.85,1199.93
Kumiś,Pioter,5.0,2.0,1.0,1,6.0,"0,8333333333","0,3333333333","0,1666666667",1205.07,1199.93,1200.0,1205.0
Franek,Kumiś,5.0,2.0,4.0,1,6.0,"0,8333333333","0,3333333333","0,6666666667",1219.5699999999997,1200.21,1214.7099999999998,1205.07
Bieda,Konik,5.0,3.0,3.0,1,6.0,"0,8333333333","0,5","0,5",1190.3600000000001,1189.93,1185.22,1195.0700000000002
Konik,Łukasz,3.0,1.0,0.0,2,3.0,1,"0,3333333333",0,1195.0700000000002,1194.86,1189.93,1200.0
Franek,Kumiś,3.0,2.0,2.0,2,3.0,1,"0,6666666667","0,6666666667",1224.2899999999997,1195.49,1219.5699999999997,1200.21
Koral,Pioter,3.0,1.0,2.0,2,3.0,1,"0,3333333333","0,6666666667",1205.0,1194.93,1200.0,1199.93
Konik,Bieda,3.0,0.0,5.0,2,3.0,1,0,"1,666666667",1200.0000000000002,1185.43,1195.0700000000002,1190.3600000000001
Koral,Łukasz,3.0,1.0,1.0,2,3.0,1,"0,3333333333","0,3333333333",1209.85,1190.01,1205.0,1194.86
Franek,Pioter,3.0,2.0,2.0,2,3.0,1,"0,6666666667","0,6666666667",1228.8699999999997,1190.3500000000001,1224.2899999999997,1194.93
Koral,Bieda,3.0,0.0,0.0,2,3.0,1,0,0,1214.5,1180.78,1209.85,1185.43
Kumiś,Pioter,3.0,0.0,0.0,2,3.0,1,0,0,1200.42,1185.42,1195.49,1190.3500000000001
